dest	src	jobid	port	bucket	rule
logs/showdown/v22/showdown_7172508_2.log	showdown_7172508_2.log	7172508	8102	v22	showdown:jobid
logs/showdown/v22/showdown_7172509_0.log	showdown_7172509_0.log	7172509	8100	v22	showdown:port+mtime<-slurm-lg-ppo-7172508_0.out
logs/showdown/v22/showdown_7172510_1.log	showdown_7172510_1.log	7172510	8101	v22	showdown:port+mtime<-slurm-lg-ppo-7172508_1.out
logs/showdown/v23a/showdown_7181039_2.log	showdown_7181039_2.log	7181039	8102	v23a	showdown:jobid
logs/showdown/v23a/showdown_7181040_0.log	showdown_7181040_0.log	7181040	8100	v23a	showdown:port+mtime<-slurm-lg-ppo-7181039_0.out
logs/showdown/v23a/showdown_7181041_1.log	showdown_7181041_1.log	7181041	8101	v23a	showdown:port+mtime<-slurm-lg-ppo-7181039_1.out
logs/showdown/v23b/showdown_7181042_2.log	showdown_7181042_2.log	7181042	8202	v23b	showdown:jobid
logs/showdown/v23b/showdown_7181043_0.log	showdown_7181043_0.log	7181043	8200	v23b	showdown:port+mtime<-slurm-lg-ppo-7181042_0.out
logs/showdown/v23b/showdown_7181757_1.log	showdown_7181757_1.log	7181757	8201	v23b	showdown:port+mtime<-slurm-lg-ppo-7181042_1.out
logs/showdown/v24a/showdown_7183404_2.log	showdown_7183404_2.log	7183404	8202	v24a	showdown:jobid
logs/showdown/v24a/showdown_7183408_0.log	showdown_7183408_0.log	7183408	8200	v24a	showdown:port+mtime<-slurm-lg-ppo-7183404_0.out
logs/showdown/v24a/showdown_7183409_1.log	showdown_7183409_1.log	7183409	8201	v24a	showdown:port+mtime<-slurm-lg-ppo-7183404_1.out
logs/showdown/v24b/showdown_7183405_2.log	showdown_7183405_2.log	7183405	8302	v24b	showdown:jobid
logs/showdown/v24b/showdown_7183410_0.log	showdown_7183410_0.log	7183410	8300	v24b	showdown:port+mtime<-slurm-lg-ppo-7183405_0.out
logs/showdown/v24b/showdown_7184561_1.log	showdown_7184561_1.log	7184561	8301	v24b	showdown:port+mtime<-slurm-lg-ppo-7183405_1.out
logs/showdown/v24c/showdown_7183406_2.log	showdown_7183406_2.log	7183406	8402	v24c	showdown:jobid
logs/showdown/v24c/showdown_7184583_0.log	showdown_7184583_0.log	7184583	8400	v24c	showdown:port+mtime<-slurm-lg-ppo-7183406_0.out
logs/showdown/v24c/showdown_7184818_1.log	showdown_7184818_1.log	7184818	8401	v24c	showdown:port+mtime<-slurm-lg-ppo-7183406_1.out
logs/showdown/v24d/showdown_7183407_2.log	showdown_7183407_2.log	7183407	8502	v24d	showdown:jobid
logs/showdown/v24d/showdown_7185724_0.log	showdown_7185724_0.log	7185724	8500	v24d	showdown:port+mtime<-slurm-lg-ppo-7183407_0.out
logs/showdown/v24d/showdown_7185725_1.log	showdown_7185725_1.log	7185725	8501	v24d	showdown:port+mtime<-slurm-lg-ppo-7183407_1.out
logs/showdown/v25a/showdown_7188054_2.log	showdown_7188054_2.log	7188054	8202	v25a	showdown:jobid
logs/showdown/v25a/showdown_7188058_0.log	showdown_7188058_0.log	7188058	8200	v25a	showdown:port+mtime<-slurm-lg-ppo-7188054_0.out
logs/showdown/v25a/showdown_7188059_1.log	showdown_7188059_1.log	7188059	8201	v25a	showdown:port+mtime<-slurm-lg-ppo-7188054_1.out
